"","country","year","population","capital"
"45","Cuba",2019,11316697,"Havana"
"46","Curacao",2019,157441,"Willemstad"
"47","Cyprus",2019,1228836,"Nicosia"
"48","Denmark",2019,5814422,"Copenhagen"
"49","Djibouti",2019,1073994,"Djibouti"
"50","Dominica",2019,71428,"Roseau"
"51","Dominican Republic",2019,10881882,"Santo Domingo"
"52","Ecuador",2019,17343740,"Quito"
"53","El Salvador",2019,6280217,"San Salvador"
"54","Equatorial Guinea",2019,1553031,"Malabo"
"55","Eritrea",2019,3498818,"Asmara"
"56","Estonia",2019,1326898,"Tallinn"
"57","Eswatini",2019,1169613,"Mbabane"
"58","Ethiopia",2019,114120594,"Addis Ababa"
"59","Faroe Islands",2019,51681,"Torshavn"
"60","Fiji",2019,918465,"Suva"
"61","Finland",2019,5521606,"Helsinki"
"62","France",2019,67388001,"Paris"
"63","French Polynesia",2019,299717,"Papeete"
"64","Gabon",2019,2242785,"Libreville"
"65","Georgia",2019,3720161,"Tbilisi"
"66","Germany",2019,83092962,"Berlin"
"67","Ghana",2019,31522290,"Accra"
"68","Greece",2019,10721582,"Athens"
"69","Greenland",2019,56225,"Nuuk"
"70","Grenada",2019,122724,"Saint George's"
"71","Guam",2019,168624,"Agana"
"72","Guatemala",2019,16604026,"Guatemala City"
"73","Guinea",2019,12877539,"Conakry"
"74","Guinea-Bissau",2019,1970457,"Bissau"
"75","Guyana",2019,798753,"Georgetown"
"76","Haiti",2019,11160438,"Port-au-Prince"
"77","Honduras",2019,9958829,"Tegucigalpa"
"78","Hungary",2019,9771141,"Budapest"
"79","Iceland",2019,360563,"Reykjavik"
"80","India",2019,1383112050,"New Delhi"
"81","Indonesia",2019,269582878,"Jakarta"
"82","Iraq",2019,41563520,"Baghdad"
"83","Ireland",2019,4934340,"Dublin"
"84","Isle of Man",2019,83933,"Douglas"
"85","Italy",2019,59729081,"Rome"
"86","Jamaica",2019,2813773,"Kingston"
"87","Japan",2019,126633000,"Tokyo"
"88","Jordan",2019,10698683,"Amman"
"89","Kazakhstan",2019,18513673,"Astana"
"90","Kenya",2019,50951450,"Nairobi"
"91","Kiribati",2019,124241,"Tarawa"
"92","Korea, Dem. People's Rep.",2019,25755441,"Pyongyang"
"93","Kosovo",2019,1788878,"Pristina"
"94","Kuwait",2019,4441100,"Kuwait City"
"95","Lao PDR",2019,7212053,"Vientiane"
"96","Latvia",2019,1913822,"Riga"
"97","Lebanon",2019,5781907,"Beirut"
"98","Lesotho",2019,2225702,"Maseru"
"99","Liberia",2019,4985289,"Monrovia"
"100","Libya",2019,6569088,"Tripoli"
"101","Liechtenstein",2019,38482,"Vaduz"
"102","Lithuania",2019,2794137,"Vilnius"
"103","Luxembourg",2019,620001,"Luxembourg"
"104","Madagascar",2019,27533134,"Antananarivo"
"105","Malawi",2019,18867337,"Lilongwe"
"106","Malaysia",2019,32804020,"Kuala Lumpur"
"107","Maldives",2019,504508,"Male"
"108","Mali",2019,20567424,"Bamako"
"109","Malta",2019,504062,"Valletta"
"110","Marshall Islands",2019,44728,"Majuro"
"111","Mauritania",2019,4383849,"Nouakchott"
"112","Mauritius",2019,1265985,"Port Louis"
"113","Mexico",2019,125085311,"Mexico City"
"114","Moldova",2019,2664224,"Chisinau"
"115","Monaco",2019,37034,"Monaco"
"116","Mongolia",2019,3232430,"Ulaanbaatar"
"117","Montenegro",2019,622028,"Podgorica"
"118","Morocco",2019,36304408,"Rabat"
"119","Mozambique",2019,30285595,"Maputo"
"120","Myanmar",2019,53040212,"Naypyidaw"
"121","Namibia",2019,2446644,"Windhoek"
"122","Nauru",2019,12132,"Yaren District"
"123","Nepal",2019,28832496,"Kathmandu"
"124","Netherlands",2019,17344874,"Amsterdam"
"125","New Caledonia",2019,271240,"Noum'ea"
"126","New Zealand",2019,4979200,"Wellington"
"127","Nicaragua",2019,6663924,"Managua"
"128","Niger",2019,23443393,"Niamey"
"129","Nigeria",2019,203304492,"Abuja"
"130","North Macedonia",2019,1876262,"Skopje"
"131","Northern Mariana Islands",2019,49858,"Saipan"
"132","Norway",2019,5347896,"Oslo"
"133","Oman",2019,4602768,"Muscat"
"134","Pakistan",2019,223293280,"Islamabad"
"135","Palau",2019,17916,"Koror"
"136","Panama",2019,4232532,"Panama City"
