"","country","year","population","capital"
"118","Malta",2019,504062,"Valletta"
"119","Marshall Islands",2019,44728,"Majuro"
"120","Mauritania",2019,4383849,"Nouakchott"
"121","Mauritius",2019,1265985,"Port Louis"
"122","Mexico",2019,125085311,"Mexico City"
"123","Micronesia, Fed. Sts.",2019,111379,"Palikir"
"124","Moldova",2019,2664224,"Chisinau"
"125","Monaco",2019,37034,"Monaco"
"126","Mongolia",2019,3232430,"Ulaanbaatar"
"127","Montenegro",2019,622028,"Podgorica"
"128","Morocco",2019,36304408,"Rabat"
"129","Mozambique",2019,30285595,"Maputo"
"130","Myanmar",2019,53040212,"Naypyidaw"
"131","Namibia",2019,2446644,"Windhoek"
"132","Nauru",2019,12132,"Yaren District"
"133","Nepal",2019,28832496,"Kathmandu"
"134","Netherlands",2019,17344874,"Amsterdam"
