"","Country","Lat","Long","date","Confirmed","Recovered","Deaths"
"169","US",29.7938,-82.4944,2020-03-14,0,0,0
"170","US",29.7938,-82.4944,2020-03-15,0,0,0
"171","US",29.7938,-82.4944,2020-03-16,0,0,0
"172","US",29.7938,-82.4944,2020-03-17,0,0,0
"173","US",29.7938,-82.4944,2020-03-18,0,0,0
"174","US",29.7938,-82.4944,2020-03-19,0,0,0
"175","US",29.7938,-82.4944,2020-03-02,0,0,0
"176","US",29.7938,-82.4944,2020-03-20,0,0,0
"177","US",29.7938,-82.4944,2020-03-21,0,0,0
"178","US",29.7938,-82.4944,2020-03-22,0,0,0
"179","US",29.7938,-82.4944,2020-03-23,0,0,0
"180","US",29.7938,-82.4944,2020-03-03,0,0,0
"181","US",29.7938,-82.4944,2020-03-04,0,0,0
"182","US",29.7938,-82.4944,2020-03-05,0,0,0
"183","US",29.7938,-82.4944,2020-03-06,0,0,0
"184","US",29.7938,-82.4944,2020-03-07,0,0,0
"185","US",29.7938,-82.4944,2020-03-08,0,0,0
"186","US",29.7938,-82.4944,2020-03-09,0,0,0
"187","US",37.6017,-121.7195,2020-01-22,0,0,0
"188","US",37.6017,-121.7195,2020-01-23,0,0,0
"189","US",37.6017,-121.7195,2020-01-24,0,0,0
"190","US",37.6017,-121.7195,2020-01-25,0,0,0
"191","US",37.6017,-121.7195,2020-01-26,0,0,0
"192","US",37.6017,-121.7195,2020-01-27,0,0,0
"193","US",37.6017,-121.7195,2020-01-28,0,0,0
"194","US",37.6017,-121.7195,2020-01-29,0,0,0
"195","US",37.6017,-121.7195,2020-01-30,0,0,0
"196","US",37.6017,-121.7195,2020-01-31,0,0,0
"197","US",37.6017,-121.7195,2020-02-01,0,0,0
"198","US",37.6017,-121.7195,2020-02-10,0,0,0
"199","US",37.6017,-121.7195,2020-02-11,0,0,0
"200","US",37.6017,-121.7195,2020-02-12,0,0,0
"201","US",37.6017,-121.7195,2020-02-13,0,0,0
"202","US",37.6017,-121.7195,2020-02-14,0,0,0
"203","US",37.6017,-121.7195,2020-02-15,0,0,0
"204","US",37.6017,-121.7195,2020-02-16,0,0,0
"205","US",37.6017,-121.7195,2020-02-17,0,0,0
"206","US",37.6017,-121.7195,2020-02-18,0,0,0
